trialType,trialID,blockID,speakerType,speakerExp,speakerPos,leftSpeaker,rightSpeaker,leftImage,rightImage,targetSide,label,video,trialDuration,trialStartSilence,trialEndSilence,AG,AGType,AGImage,AGAudio,AGVideo,AGTime,AGgetInput,AGWidth,AGHeight
AG,,,,,,,,,,,,,,,,1,movie,,kaleidoscope,kaleidoscope,5000,,,
training,,,reliable,,,,,ball,car,left,see_ball,,5000,,,,,,,,,,,
training,,,unreliable,,,,,truck,apple,left,see_cat,,5000,,,,,,,,,,,
training,,,reliable,,,,,shoe,book,right,where_book,,5000,,,,,,,,,,,
training,,,unreliable,,,,,duck,bear,right,find_hat,,5000,,,,,,,,,,,
AG,,,,,,,,,,,,,,,,1,movie,,BouncyBalls,BouncyBalls,5000,,,
training,,,reliable,,,,,ball,car,right,see_car,,,,,,,,,,,,,
training,,,unreliable,,,,,truck,apple,left,find_dog,,,,,,,,,,,,,
training,,,unreliable,,,,,shoe,book,right,look_train,,,,,,,,,,,,,
training,,,reliable,,,,,duck,bear,left,where_duck,,,,,,,,,,,,,
AG,,,,,,,,,,,,,,,,,,,,,,,,
training,,,unreliable,,,,,car,ball,left,find_hat,,5000,,,,,,,,,,,
training,,,reliable,,,,,apple,truck,left,look_apple,,5000,,,,,,,,,,,
training,,,unreliable,,,,,book,shoe,right,see_cat,,5000,,,,,,,,,,,
training,,,reliable,,,,,bear,duck,right,where_duck,,5000,,,,,,,,,,,
AG,,,,,,,,,,,,,,,,1,movie,,Balloons,Balloons,5000,,,
training,,,unreliable,,,,,car,ball,left,find_dog,,,,,,,,,,,,,
training,,,reliable,,,,,apple,truck,right,find_truck,,,,,,,,,,,,,
training,,,reliable,,,,,shoe,book,left,where_shoe,,,,,,,,,,,,,
training,,,unreliable,,,,,bear,duck,right,look_train,,,,,,,,,,,,,
AG,,,,,,,,,,,,,,,,,,,,,,,,