progress,duration,finished,QID161,QID161_4_TEXT,QID153,QID155,QID154,QID152,QID133,QID158,QID157,QID156,QID142_4,subject_id,study_id
Progress,Duration (in seconds),Finished,Form - Who is filling in this form? - Selected Choice,Form_4_TEXT - Who is filling in this form? - Other (please write-in) - Text,says1 - Please select all the words your child says:,says2 - Please select all the words your child says:,says3 - Please select all the words your child says:,says4 - Please select all the words your child says:,"understands1 - Of the words your child does not say, please select all the words your child understands:","understands2 - Of the words your child does not say, please select all the words your child understands:","understands3 - Of the words your child does not say, please select all the words your child understands:","understands4 - Of the words your child does not say, please select all the words your child understands:","confOverall_4 - Think about the form you just filled out. You may have been really sure about your answers for some of the words on the form and less sure about others. Using the slider scale, tell us how sure you felt about your answers. 0 means ""I was not sure about my answers for any of the words"" and 100 means ""I was sure about my answers for all of the words"" - How sure are you about your answers on the form?",subject_id,study_id
100,202,TRUE,Mother,,"baa baa,moo,ouch,yum yum,quack quack,bird,duck,fish,kitty,penguin,boat,truck,balloon,puzzle,cheese,chicken,cookie,juice,pretzel,cup","hat,shoe,feet,nose,tongue,bottle,bowl,clock,glass,keys,light,telephone,bathtub,chair,crib,porch,sofa,cloud,hose,sun,house","store,zoo,baby,mommy,bath,bye,lunch,night night,no,catch,drink,drop,find,go,hide,jump,kick,look,pick,run,sit","big,black,then,careful,mad,noisy,slow,she,their,they,away,up,none,some,don't","present,sauce","jeans,jar,sidewalk","child,mailman,bite,build","dirty,today,tomorrow,above",84,BI101,babyinfo
100,198,TRUE,Mother,,"baa baa,moo,ouch,yum yum,quack quack,bird,duck,fish,kitty,moose,penguin,boat,truck,balloon,puzzle,cheese,chicken,cookie,juice,pretzel,salt,sauce,vanilla,cup","beads,hat,jeans,shoe,feet,nose,tongue,bottle,bowl,clock,keys,light,telephone,bathtub,chair,crib,sofa,cloud,hose,sidewalk,sun,house","store,zoo,baby,mommy,bath,bye,lunch,night night,no,bite,build,catch,drink,drop,find,go,hide,jump,kick,look,pick,run,sit","big,black,careful,dirty,mad,noisy,slow,today,tomorrow,she,their,they,up,none,some,does",present,"glass,jar,porch","child,mailman","before,why,above,away,don't,were",90,BI100,babyinfo
100,1174,TRUE,Mother,,"baa baa,moo,ouch,yum yum,quack quack,bird,duck,fish,kitty,moose,penguin,boat,truck,balloon,puzzle,cheese,chicken,cookie,juice,cup","hat,shoe,feet,nose,tongue,bottle,bowl,glass,keys,light,telephone,bathtub,chair,crib,cloud,sidewalk,sun,house","store,zoo,baby,mommy,bath,bye,lunch,night night,no,bite,catch,drink,drop,find,go,hide,jump,kick,look,pick,run,sit","big,black,careful,dirty,slow,today,tomorrow,above,away,up,some,don't",present,"jeans,clock,porch",build,"mad,noisy",85,BI104,babyinfo
100,307,TRUE,Mother,,"baa baa,moo,quack quack,duck,fish,boat,truck,cookie,juice","hat,shoe,nose","zoo,baby,mommy,bath,bye,night night,no",up,"ouch,yum yum,bird,kitty,penguin,balloon,present,puzzle,cheese,chicken,cup","feet,tongue,bottle,bowl,keys,light,telephone,bathtub,chair,crib,sofa,cloud,hose,sidewalk,sun,house","child,mailman,lunch,bite,drink,find,go,hide,jump,look,pick,run,sit","big,black,dirty",75,BI106,babyinfo
100,336,TRUE,Mother,,"baa baa,moo","hat,shoe","baby,mommy,bye,night night,no","away,don't","ouch,yum yum,quack quack,bird,duck,fish,kitty,truck,puzzle,cookie,cup","feet,nose,tongue,bottle,bowl,keys,telephone,bathtub,crib,cloud,hose,sidewalk,sun,house","store,zoo,child,mailman,bath,catch,drink,drop,jump,kick,run,sit","big,careful,dirty,slow,today,yourself,up,none",45,BI108,babyinfo
100,207,TRUE,Mother,,"baa baa,moo,quack quack,bird,duck,fish,kitty,penguin,boat,truck,balloon,cheese,chicken,pretzel,sauce,cup","hat,shoe,feet,nose,bottle,bowl,clock,glass,keys,light,telephone,bathtub,chair,sofa,sun,house","baby,mommy,bath,bye,lunch,night night,no,bite,drink,drop,go,jump,kick,sit","big,dirty,slow,up","ouch,yum yum,juice","tongue,crib","store,catch,find,look,run","careful,mad,none,don't",95,BI109,babyinfo
100,394,TRUE,Mother,,"ouch,kitty,truck,balloon,cheese,cookie,juice,cup","hat,shoe,bottle,bowl","baby,mommy,bath,bye,night night,no,go",up,"baa baa,moo,yum yum,quack quack,bird,duck,fish,moose,penguin,boat,present,puzzle,chicken,pretzel,salt,sauce","beads,feet,nose,tongue,keys,light,telephone,bathtub,chair,crib,sofa,hose,sidewalk,sun,house","store,lunch,bite,build,catch,drink,drop,find,hide,jump,kick,look,pick,run,sit","big,black,careful,dirty,mad,noisy,slow,before,she,their,they,yourself,why,above,away,none,some,does,don't",78,BI105,babyinfo
100,467,TRUE,Mother,,"baa baa,moo,ouch,bird,boat,cheese,juice","shoe,bottle,keys","baby,bye,night night,no,go",up,"duck,fish,kitty,truck,balloon,chicken,cup","hat,feet,nose,bowl,light,telephone,bathtub,chair,crib,cloud,sun,house","mommy,bath,drink,find,look","big,noisy,don't",67,BI107,babyinfo
100,469,TRUE,Mother,,"baa baa,moo,ouch,yum yum,quack quack,bird,duck,fish,kitty,truck,present,puzzle,cheese,cookie,pretzel,cup","hat,shoe,feet,nose,keys,chair,house","baby,mommy,bath,bye,no,go,jump,kick,run,sit","big,dirty,up","balloon,juice","tongue,bottle,bowl,light,telephone,bathtub,crib","lunch,bite,catch,drink,find,look","careful,mad,noisy,don't",40,BI110,babyinfo
100,327,TRUE,Mother,,"moo,ouch,balloon","hat,feet","baby,mommy,bye,no",why,"truck,cookie,cup","shoe,bottle,telephone,chair","bath,lunch,night night,bite,drink,find,go,jump,look,sit","careful,don't",85,BI112,babyinfo
100,300,TRUE,Father,,"baa baa,moo,ouch,yum yum,quack quack,bird,duck,fish,kitty,boat,truck,balloon,puzzle,cheese,chicken,cookie,juice,pretzel,salt,sauce,vanilla,cup","beads,hat,shoe,feet,nose,tongue,bottle,bowl,clock,glass,keys,light,telephone,bathtub,chair,sofa,cloud,sidewalk,sun,house","store,zoo,baby,mommy,child,mailman,bath,bye,lunch,night night,no,bite,build,catch,drink,drop,find,go,hide,jump,kick,look,pick,run,sit","big,black,careful,dirty,mad,noisy,slow,today,away,up,none,some,does","moose,penguin","jar,crib",,"before,tomorrow,above",90,BI114,babyinfo
100,810,TRUE,Father,,"baa baa,moo,ouch,quack quack,bird,duck,fish,kitty,penguin,boat,truck,balloon,cheese,chicken,juice,sauce,cup","hat,shoe,feet,nose,bottle,bowl,keys,light,telephone,bathtub,chair,crib,sun,house","store,zoo,baby,mommy,bath,bye,lunch,night night,no,bite,drink,go,hide,jump,look,run,sit","big,black,careful,dirty,mad,slow,today,tomorrow,away,up","yum yum,puzzle,cookie,pretzel","tongue,clock,glass,cloud,sidewalk","mailman,build,catch,drop,find,kick","then,noisy",85,BI115,babyinfo
100,458,TRUE,Mother,,"baa baa,moo,ouch,yum yum,quack quack,bird,duck,boat,cheese,chicken,cookie,juice,cup","hat,shoe,feet,nose,tongue,bottle,bowl,clock,bathtub,chair,crib,sun","baby,mommy,bath,bye,night night,no,bite,run,sit","dirty,up","fish,kitty,moose,balloon,present,salt,vanilla","glass,jar,keys,light,telephone,porch,cloud,sidewalk,house","zoo,mailman,lunch,build,catch,drink,find,go,hide,jump,kick,look,pick","big,black,careful,mad,noisy,slow",90,BI113,babyinfo
